# Codigo Arvore, Altura, DAP, Diametro Copa, Especie
000574-11.jpg,5.2170000000000005,0.207,3.802,Erythrina falcata
000574-16.jpg,4.587,0.162,6.837999999999999,Bauhinia sp
000574-17.jpg,7.742999999999999,0.318,5.686,Ficus sp 
000574-20.jpg,10.449000000000002,0.563,8.161,Tipuana tipu 
000574-21.jpg,11.447000000000001,0.248,7.903,Caesalpinia peltophoroides
000574-22.jpg,9.399,0.19399999999999998,5.272,Caesalpinia peltophoroides
000574-24.jpg,6.562,0.207,6.316,Ficus sp 
000574-25.jpg,10.65,0.532,7.122999999999999,Tipuana tipu 
000574-27.jpg,12.225999999999999,0.5539999999999999,10.5,Tipuana tipu 
000574-30.jpg,11.130999999999998,0.586,10.350999999999999,Tipuana tipu 
000574-38.jpg,10.447000000000001,0.621,8.283999999999999,Tipuana tipu 
000574-43.jpg,8.292,0.376,7.422999999999999,Caesalpinia peltophoroides
000574-44.jpg,8.744,0.255,4.27,ni
000574-45.jpg,10.618,0.306,7.6370000000000005,Senna sp 
000574-47.jpg,14.613,0.884,15.175,Tipuana tipu 
000574-49.jpg,11.614,0.742,10.385,Tipuana tipu 
000574-51.jpg,9.463,0.5,5.8,Tipuana tipu 
000574-52.jpg,13.708,0.914,11.014000000000001,Tipuana tipu 
002712-12.jpg,6.882000000000001,0.264,6.109,Caesalpinia peltophoroides
002712-16.jpg,12.675,0.754,12.209000000000001,Tipuana tipu 
002712-17.jpg,14.192,0.716,9.457,Tipuana tipu 
002712-20.jpg,7.604,0.28600000000000003,6.597,Caesalpinia peltophoroides
002712-21.jpg,11.623,0.35700000000000004,9.631,Caesalpinia peltophoroides
002712-23.jpg,11.708,0.506,9.02,ni
002712-24.jpg,16.980999999999998,0.7929999999999999,14.909,Tipuana tipu 
002712-25.jpg,13.464,0.847,11.071,Tipuana tipu 
002712-29.jpg,12.314,0.617,5.228,Ligustrum lucidum 
002712-30.jpg,4.703,0.188,4.25,Bauhinia sp
